stage,epoch,train_loss,val_loss,val_accuracy,model
1,1,0.4277,,0.5825,CORAL+BG
1,2,0.3834,,0.5866,CORAL+BG
1,3,0.3627,,0.5989,CORAL+BG
1,4,0.3461,,0.6753,CORAL+BG
1,5,0.3333,,0.6958,CORAL+BG
2,1,0.3336,0.3210,0.6862,CORAL+BG
2,2,0.3209,0.3200,0.6889,CORAL+BG
2,3,0.3131,0.3180,0.6917,CORAL+BG
2,4,0.3084,0.3177,0.6835,CORAL+BG
2,5,0.3057,0.3128,0.6726,CORAL+BG
2,6,0.3032,0.3163,0.6780,CORAL+BG
2,7,0.3054,0.3102,0.6753,CORAL+BG
2,8,0.2980,0.3098,0.6958,CORAL+BG
2,9,0.2978,0.3155,0.6917,CORAL+BG
2,10,0.3014,0.3061,0.6917,CORAL+BG
2,11,0.3021,0.3122,0.6944,CORAL+BG
2,12,0.3011,0.3155,0.6917,CORAL+BG
2,13,0.3041,0.3143,0.7012,CORAL+BG
2,14,0.3032,0.3121,0.6903,CORAL+BG
2,15,0.3003,0.3050,0.7053,CORAL+BG
